POSTED_BY,UNDER_CONSTRUCTION,PROPERTY_AGE,FURNISHED,APARTMENT_TYPE,FACING,NO._OF_ROOMS,BALCONY,POWER_BACKUP,AREA_IN_SQUARE_FT,READY_TO_MOVE,TRANSACTION_TYPE,ADDRESS,LONGITUDE,LATITUDE,PRICE_IN_LACS,FACILITIES
Owner,NO,01-Feb,YES,RESIDENTIAL,NORTH-EAST,3,YES,YES,1350.308642,YES,RESALE,"Deshbandhu Para,Siliguri",26.724219,88.326357,35,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-2,YES,RESIDENTIAL,NORTH-EAST,2,YES,NO,1333.010179,YES,RESALE,"Hebbal,Bangalore",13.04034,77.591347,110,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-2,YES,RESIDENTIAL,NORTH-EAST,2,YES,YES,927.1779023,YES,RESALE,"Garebhavipalya,Bangalore",12.96991,77.59796,48,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1122.171946,YES,RESALE,"Sector-119 Noida,Noida",28.587711,77.403123,62,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,01-Feb,YES,RESIDENTIAL,NORTH-EAST,1,YES,YES,649.9837504,YES,RESALE,"sanjay nagar,Raigad",13.0352,77.5772,20,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,0-2,YES,RESIDENTIAL,NORTH-EAST,3,YES,YES,1394.117647,YES,RESALE,"Sector-150 Noida,Noida",28.429614,77.481711,71.1,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1800.08471,YES,RESALE,"Jharapada,Bhubaneswar",20.275267,85.862407,85,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,2124.896706,YES,RESALE,"Konanakunte,Bangalore",12.8855,77.5638,180,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1100,YES,RESALE,"Nagpur Road,Wardha",21.15389,79.08306,22,"WATER SUPPLY, LIFT"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,2178.649237,YES,RESALE,"Kogilu,Bangalore",13.092356,77.613468,120,"WATER SUPPLY, LIFT"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,881.1435285,YES,RESALE,"Poonamallee,Chennai",13.05,80.11,45,"WATER SUPPLY, LIFT"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,944.8818898,YES,RESALE,"Undri,Pune",18.452663,73.93104,42,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1310.147689,YES,RESALE,"Sector-134 Noida,Noida",28.5041,77.381557,55,"WATER SUPPLY, LIFT"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,1,YES,NO,630.00063,YES,RESALE,"Bandra (West),Mumbai",19.05444,72.84056,300,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1219.80971,YES,RESALE,"Narendra Nagar,Nagpur",21.105779,79.078497,50,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,780.141844,YES,RESALE,"Kudgat,Kolkata",22.54111,88.33778,27.5,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1600,YES,RESALE,"Sain Vihar,Ghaziabad",28.63601,77.433724,46,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1180.412371,YES,RESALE,"Sector-115 Mohali,Mohali",30.712867,76.648557,22.9,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,YES,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1000,YES,RESALE,"Mohan Asram,Deoghar",24.48,86.7,39,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1000,YES,RESALE,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,12.5,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1400.107701,YES,RESALE,"Sector 84 Faridabad,Faridabad",28.40473,77.367514,52,"WATER SUPPLY, LIFT"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,943.1266076,YES,RESALE,"Sector-134 Noida,Noida",28.5041,77.381557,33,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1150.146382,YES,RESALE,"Indra Colony,Jaipur",26.586306,74.873234,55,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,0-1,NO,RESIDENTIAL,NORTH-EAST,1,YES,NO,864.0674394,YES,RESALE,"Thane West,Lalitpur",19.18,72.96333,82,"WATER SUPPLY, LIFT"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,857.7861968,YES,RESALE,"Mulund (West),Maharashtra",19.1759,72.9522,240,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1174.210077,YES,RESALE,"Thalambur,Chennai",12.852171,80.216826,55,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,0-2,NO,RESIDENTIAL,NORTH-EAST,2,YES,YES,1020.087884,YES,RESALE,"Wakad,Pune",18.5993,73.7625,65,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,4,YES,YES,1650.165017,YES,RESALE,"Vasna,Vadodara",22.312063,72.674296,65,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,0-1,NO,RESIDENTIAL,NORTH-EAST,2,YES,NO,1000,YES,RESALE,"Madhurawada,Visakhapatnam",17.815234,83.35818,35,"WATER SUPPLY, LIFT"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1300.052002,YES,RESALE,"Vasanthapura,Bangalore",12.894088,77.548914,75,"WATER SUPPLY, LIFT"
Dealer,YES,0-1,NO,RESIDENTIAL,NORTH-EAST,1,YES,YES,40606.19568,YES,RESALE,"Kanjur Marg (East),Lalitpur",24.69028,78.41889,9110,"WATER SUPPLY, LIFT"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-WEST,2,YES,NO,1058.114928,YES,RESALE,"Sus,Pune",18.539812,73.737678,65,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,0-1,NO,RESIDENTIAL,NORTH-WEST,1,YES,NO,400,YES,RESALE,"Kharadi,Pune",18.5438,73.9438,30,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,NORTH-WEST,3,YES,NO,1274.924779,YES,RESALE,"Marol,Mumbai",22.803593,83.755013,250,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,NORTH-WEST,2,YES,YES,1026.694045,YES,RESALE,"Wadala East,Lalitpur",19.014858,72.8662,220,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,1150.121065,YES,RESALE,"Near Ambamata Mandir,Vapi",20.36667,72.9,38,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,NORTH-EAST,3,YES,NO,1200,YES,RESALE,"Patel Nagar-II,Ghaziabad",28.460928,77.039391,60,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,NORTH-WEST,1,YES,YES,475.0103263,YES,RESALE,"Balkum,Lalitpur",24.69028,78.41889,46,"WATER SUPPLY, LIFT"
Builder,YES,0-1,NO,RESIDENTIAL,NORTH-EAST,1,YES,NO,301.9171163,YES,RESALE,"Taloja,Lalitpur",24.69028,78.41889,26.3,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,0-1,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,1228.571429,YES,RESALE,"Bolar,Mangalore",12.843852,74.845271,51.6,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,NORTH-WEST,2,YES,YES,986.0164934,YES,RESALE,"Ayanambakkam,Chennai",13.077175,80.151453,55,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,0-2,NO,RESIDENTIAL,NORTH-EAST,3,YES,YES,1972.565158,YES,RESALE,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,71.9,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,0-2,NO,RESIDENTIAL,NORTH-WEST,1,YES,NO,420.6166888,YES,RESALE,"Sindhi Society Chembur,Lalitpur",19.048403,72.88731,130,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,SOUTH-WEST,3,YES,YES,1275.009808,YES,RESALE,"Shiv Mandir,Siliguri",25.232239,71.392013,32.5,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,1,YES,YES,406.024219,YES,RESALE,"Kalyan (West),Maharashtra",19.245347,73.124577,39.9,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,3,YES,NO,1862.562189,YES,RESALE,"Sector 88 Faridabad,Faridabad",28.431862,77.351104,59.9,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,950.0146156,YES,RESALE,"Nandanwan Phases 2,Aurangabad",19.88879,75.34344,65,"WATER SUPPLY, LIFT"
Owner,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,4,YES,NO,5200.945626,YES,RESALE,"Sector-76 Noida,Noida",28.567633,77.383124,110,"WATER SUPPLY, LIFT"
Dealer,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,1049.969344,YES,RESALE,"Basaveshwara Nagar,Bangalore",12.985039,77.54383,68.5,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,3,YES,NO,1615.008157,YES,RESALE,"Maniktala,Kolkata",22.589694,88.372957,99,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,3,YES,NO,1150.0069,YES,RESALE,"Wadala East,Lalitpur",19.014858,72.8662,250,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,1100,YES,RESALE,"Jhotwara,Jaipur",26.955346,75.734793,27.5,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,0-2,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,906.2661833,YES,RESALE,"Balkum,Lalitpur",24.69028,78.41889,70,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,3,YES,NO,1454.333915,YES,RESALE,"Poolakkaparambu,Ottapalam",10.77,76.38,50,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,3,YES,YES,1591.994542,YES,RESALE,"Sector-137 Noida,Noida",28.506454,77.409568,70,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,573.8769151,YES,RESALE,"Sector 86 Faridabad,Faridabad",28.406388,77.342588,22.1,"WATER SUPPLY, LIFT"
Dealer,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,3,YES,YES,1038.883942,YES,RESALE,"Powai,Mumbai",19.12,72.91,280,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,3,YES,YES,1538.141758,YES,RESALE,"Yelahanka,Bangalore",13.11389,77.59833,74,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,5000,YES,RESALE,"Malviya Nagar,Jaipur",26.850391,75.814198,85,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,3,YES,YES,1602.084012,YES,RESALE,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,49.2,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,1200,YES,RESALE,"Madhuranagar,Vijayawada",16.51667,80.61667,45,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,760.07094,YES,RESALE,"Tilakwadi,Belgaum",15.86667,74.5,60,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,YES,0-2,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,739.8273736,YES,RESALE,"tallaiya,Bhopal",23.25,77.41667,30,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,1260.02291,YES,RESALE,"Mulki,Mangalore",13.0915,74.7844,33,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,1100.151745,YES,RESALE,"Manewada,Nagpur",21.093676,79.111965,29,"WATER SUPPLY, LIFT"
Dealer,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,3,YES,YES,2293.077091,YES,RESALE,"Kharadi,Pune",18.5438,73.9438,210,"WATER SUPPLY, LIFT"
Dealer,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,1146.480331,YES,RESALE,"Sector-8 Ulwe,Lalitpur",19.216097,72.821721,88.6,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,4,YES,YES,2224.059764,YES,RESALE,"Goregaon (East),Lalitpur",19.1615,72.8731,780,"WATER SUPPLY, LIFT"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,759.8784195,YES,RESALE,"Joka,Kolkata",22.452032,88.298947,30,"WATER SUPPLY, LIFT"
Owner,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,4,YES,NO,2260.251857,YES,RESALE,"Wilson Garden,Bangalore",12.9506,77.5952,140,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,3,YES,NO,767.0182167,YES,RESALE,"DN Nagar,Maharashtra",20.742166,80.104602,240,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,4,YES,YES,2500,YES,RESALE,"Ramprastha,Ghaziabad",28.66667,77.41667,160,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,YES,0-1,NO,RESIDENTIAL,SOUTH-EAST,4,YES,NO,2286.236854,YES,RESALE,"Gomti Nagar Extension,Lucknow",21,77,100,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,1150.086256,YES,RESALE,"Sector-74 Noida,Noida",28.577673,77.389781,60,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,1004.932182,YES,RESALE,"New Panvel,Mumbai",18.966114,73.148278,81.5,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,800,YES,RESALE,"Prantik,Kolkata",22.56972,88.36972,34,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,0-1,NO,RESIDENTIAL,SOUTH-EAST,3,YES,NO,993.75,YES,RESALE,"Subhas Pally,Siliguri",26.706157,88.439748,31.8,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,1298.139334,YES,RESALE,"Jatkhedi,Bhopal",23.169982,77.477889,30,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,996.797438,YES,RESALE,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,24.9,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,985.0194952,YES,RESALE,"CV Raman Nagar,Bangalore",12.98556,77.66389,48,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,3,YES,YES,1118.75,YES,RESALE,"Medavakkam,Chennai",12.91716,80.19287,53.7,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,889.8305085,YES,RESALE,"Sector-137 Noida,Noida",28.506454,77.409568,42,"WATER SUPPLY, LIFT"
Owner,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,3,YES,NO,2738.22563,YES,RESALE,"Basapura,Bangalore",12.863421,77.652405,150,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,YES,0-1,NO,RESIDENTIAL,SOUTH-EAST,4,YES,NO,1725.490196,YES,RESALE,"Deonar,Maharashtra",19.049513,72.919204,440,"WATER SUPPLY, LIFT"
Dealer,YES,0-1,NO,RESIDENTIAL,SOUTH-EAST,3,YES,YES,2488.004265,YES,RESALE,"Sector-82 Mohali,Mohali",30.654128,76.732427,140,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,3,YES,YES,1200.082764,YES,RESALE,"Satgachi,Kolkata",23.207157,88.404471,58,"WATER SUPPLY, LIFT"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,1584.283904,YES,RESALE,"Tilak Nagar,Kanpur",26.459137,79.506922,100,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,900,YES,RESALE,"Kalol,Gandhinagar",23.2257,72.51679,18,"WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,1193.440032,YES,RESALE,"Talegaon,Pune",18.441256,74.647361,60.4,"WATER SUPPLY, LIFT"
Owner,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,1487.357462,YES,RESALE,"Mansarovar Extension,Jaipur",26.8626,75.7633,30,"WATER SUPPLY, LIFT"
Owner,YES,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,989.9029895,YES,RESALE,"Sector-143 Noida,Noida",28.5035,77.426447,50,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Dealer,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,1155.020213,YES,RESALE,"Bhandup (West),Maharashtra",19.147866,72.932609,140,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,949.893137,YES,RESALE,"Eswaran Koil Street,Pondicherry",11.93,79.83,80,"WATER SUPPLY, LIFT"
Owner,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,875,YES,RESALE,"Sector-78 Noida,Noida",28.560719,77.386208,49,"WATER SUPPLY, LIFT"
Dealer,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,853.3611982,YES,RESALE,"Ananth Nagar,Bangalore",12.96991,77.59796,24.5,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,1,YES,NO,483.0917874,YES,RESALE,"Roha,Raigad",18.4543,73.1147,18,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,800,YES,RESALE,"Thane West,Maharashtra",19.18,72.96333,95,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,802.0415603,YES,RESALE,"Ankur Vihar,Ghaziabad",28.66667,77.41667,22,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,610.0660905,YES,RESALE,"Koyambedu,Chennai",13.069866,80.198423,48,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,3,YES,NO,1680.107527,YES,RESALE,"Naveen Nagar,Kanpur",28.861993,78.756315,75,"WATER SUPPLY, LIFT"
Owner,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,1150.136038,YES,RESALE,"Nirman Nagar,Jaipur",19.980678,79.297436,93,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-2,NO,RESIDENTIAL,SOUTH-EAST,3,YES,YES,1550.114497,YES,RESALE,"Sector-75 Noida,Noida",28.576117,77.382136,88,"GYNASIUM, WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,5,YES,NO,1699.834163,YES,RESALE,"Sahibabad,Ghaziabad",28.6711,77.3683,82,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,YES,0-2,NO,RESIDENTIAL,SOUTH-EAST,3,YES,YES,1600.170685,YES,RESALE,"Tripunithura,Kochi",9.952439,76.3632965,75,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,1,YES,YES,600.0566091,YES,RESALE,"Pen,Raigad",18.75,73.08,21.2,"WATER SUPPLY, LIFT"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,2,YES,NO,1429.200617,YES,RESALE,"Sector-66A Mohali,Mohali",30.661104,76.746082,64.9,"WATER SUPPLY, LIFT"
Owner,NO,0-2,NO,COMMERCIAL,SOUTH-EAST,2,YES,NO,1115.137998,YES,RESALE,"Dodda Banaswadi,Bangalore",13.008071,77.651295,80,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Dealer,NO,0-1,NO,RESIDENTIAL,SOUTH-EAST,4,YES,YES,2750.929368,YES,RESALE,"Sikandra,Agra",27.216013,77.950834,74,"GYNASIUM, WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,3,YES,NO,1811.196487,YES,RESALE,"Kanke,Ranchi",23.35556,85.33472,99,"WATER SUPPLY, LIFT, SWIMMING POOL"
Owner,NO,01-Feb,NO,RESIDENTIAL,SOUTH-EAST,2,YES,YES,1045.036079,YES,RESALE,"Narendrapur,Kolkata",22.43917,88.39583,42,"WATER SUPPLY, LIFT, CLUBS, SWIMMING POOL"
